"area_sqft","bedroom","bathroom","type","year_built","heating","cooling","parking","elementrary_rating","middle_school_rating","high_school_rating","annual_tax_amount","zestimate"
3460,4,4,"Single",2008,,,"2 spaces",3,4,7,15734,2353672
1150,2,2,"Single",1977,,,"2 spaces",3,4,7,6541,675540
,2,,"Single",1920,,,"1 space",3,4,7,1042,444248
1041,2,2,"Condo",2005,,,,3,4,7,,360601
1976,4,4,"Single",1959,,"Central","3 spaces",7,,,13965,2266162
3742,4,4,"Single",1989,,,"4 spaces",3,4,7,11046,1709403
,3,,"Single",1980,"ForcedAir","Central","Garage",3,4,7,7031,685557
2264,3,3,"Single",1981,"ForcedAir","Central","2 spaces",3,4,7,6263,876190
,1,,"Single",,,,,3,4,7,4158,674359
1266,2,2,"Single",1971,"ForcedAir","Central","2 spaces",3,4,7,5196,519816
2065,3,2,"Single",2002,,,,6,,,,812759
2448,3,3,"Single",1940,,,"3 spaces",3,4,7,22613,1980040
1488,2,2,"Single",1977,,,"2 spaces",3,4,7,911,628398
2363,3,3,"Single",1999,,,"2 spaces",3,4,7,7288,1300535
1404,2,2,"Single",1977,"ForcedAir",,"2 spaces",3,4,7,7607,830823
,2,,"Single",1998,,,,,3,7,3384,691458
2432,4,3,"Single",2001,,,"2 spaces",3,4,7,10101,975193
1962,3,3,"Single",1880,"ForcedAir",,"1 space",3,4,7,7866,1175890
1767,3,2,"Single",1984,,,"2 spaces",3,4,7,3120,774842
3354,5,3,"Single",1884,,,"Garage",3,4,7,1572,4149499
1092,3,2,"Single",1957,,,"2 spaces",3,4,7,2014,541487
,4,,"Single",1989,,,,5,5,5,,669211
1180,2,3,"Condo",1988,"ForcedAir","Central",,6,5,5,,391720
,3,,"Single",1990,"ForcedAir","Central",,6,5,5,,521536
,2,,"Condo",1993,,,,5,5,5,,337466
,4,,"Single",1980,,,,3,5,5,,659501
1413,3,3,"Condo",1988,"ForcedAir","Central",,6,5,5,,495918
,4,,"Single",1986,"ForcedAir",,,5,5,5,,626512
918,2,2,"Condo",1984,"ForcedAir",,,3,3,6,,409184
2440,4,4,"Single",2019,,,,,,,,853307
,3,,"Condo",1989,,,,6,5,5,,438091
,3,,"Condo",1987,,"Central",,6,5,5,,417118
,4,,"Single",1984,,,,6,5,5,,658588
2456,4,4,"Single",2019,"ForcedAir","Central",,3,5,5,,736487
2440,4,4,"Single",2019,,,,3,5,5,,761157
2730,5,3,"Single",2004,"ForcedAir","Central",,3,5,5,,799913
2459,4,3,"Single",2004,"ForcedAir","Central",,3,5,5,,769520
2354,4,4,"Single",2019,,,,3,5,5,,765451
2216,5,3,"Single",1978,"ForcedAir","Central",,5,5,5,,730827
,4,,"Single",1979,,,,3,5,5,,670183
2419,4,4,"Single",2016,,,,3,5,5,,843145
1064,2,2,"Single",1988,"ForcedAir","Central",,6,5,5,,450025
,3,,"Condo",1987,,,,6,5,5,,424698
2730,5,3,"Single",2004,"ForcedAir","Central",,3,5,5,,872773
2354,4,4,"Single",2019,"ForcedAir","Central",,3,5,5,,756632
2440,4,4,"Single",2019,,,,3,5,5,,712001
,1,,"Condo",1993,,,,5,5,5,,280351
869,2,1,"Condo",1986,"ForcedAir","Central",,3,3,6,,334159
2327,4,3,"Single",1980,"ForcedAir","Central",,3,5,5,,740444
,5,,"Single",1984,,"Central",,5,5,5,,689463
,4,,"Single",1988,,,,6,5,5,,522562
2354,4,4,"Single",2019,,,,3,5,5,,720001
,4,,"Single",1978,,,,3,5,5,,714208
3239,5,4,"Single",2003,,"Central",,3,5,5,,887828
,4,,"Single",1978,,,,3,5,5,,723773
2440,4,4,"Single",,,,,3,5,5,,762789
,3,,"Single",1979,,"Central",,5,5,5,,584697
1281,2,3,"Condo",1988,"ForcedAir","Central",,6,5,5,,402946
688,1,1,"Condo",1986,"Wall",,,6,5,5,,327413
2440,4,4,"Single",2018,"ForcedAir","Central",,3,5,5,,779144
,2,,"Single",1900,"ForcedAir",,,6,5,5,,523218
1413,3,3,"Townhouse",1988,,"Central",,6,5,5,,440161
1377,3,2,"Single",1985,"ForcedAir","Central",,5,5,5,,612430
5270,5,7,"Single",1990,"ForcedAir","Central",,9,9,7,,5058543
3678,5,5,"Single",1976,"ForcedAir",,,9,9,7,,3549152
2810,4,3,"Single",1965,"ForcedAir",,,9,9,10,,3156942
8930,3,8,"Single",1965,"Wall",,,9,9,10,,16947086
3160,4,4,"Single",1962,"ForcedAir",,,9,9,7,,3153131
3380,5,4,"Single",1974,"ForcedAir",,,9,9,10,,3625802
,4,,"Single",1965,,,,9,9,10,,3655551
4400,4,5,"Single",1980,"ForcedAir",,,9,9,10,,5429264
5030,4,5,"Single",2014,"ForcedAir",,,9,9,7,,5131824
4650,5,6,"Single",1930,"ForcedAir","Central",,9,9,7,,5540309
3985,4,4,"Single",1939,"ForcedAir",,,9,9,10,,5893670
2777,3,4,"Single",1957,"ForcedAir",,,9,9,7,,3352059
3959,4,5,"Single",2016,"ForcedAir","Central",,9,9,7,,7014218
,5,,"Single",1964,,"Central",,9,9,7,,4211318
3643,5,4,"Single",1953,"ForcedAir","Central",,9,9,7,,4690760
,9,,"Single",1912,,,,9,9,10,,7326360
3970,5,3,"Single",1961,"ForcedAir",,,9,9,7,,3674013
4260,5,4,"Single",1978,"ForcedAir","Central",,9,9,9,,4270483
3630,4,4,"Single",1978,"ForcedAir",,,9,9,9,,3449964
4073,5,3,"Single",1933,,,,9,9,7,,3983451
5045,5,6,"Single",1981,"ForcedAir","Central",,9,9,10,,4878353
5440,5,5,"Single",1998,"ForcedAir","Central",,9,9,9,,5668200
6510,6,7,"Single",1931,"ForcedAir","Central",,9,9,9,,8121602
7920,6,8,"Single",2003,"Wall","Central",,9,9,7,,6139748
6130,6,5.5,"Single",1989,,"Central",,9,9,9,,4114384
5180,5,6,"Single",2003,"ForcedAir","Central",,9,9,10,,6357116
5180,6,6,"Single",1978,"ForcedAir",,,,,,,4501061
5762,5,5,"Single",2019,"ForcedAir","Central",,9,9,7,,8149725
6175,5,7,"Single",2019,"ForcedAir","Central",,9,9,7,,4734266
3970,5,7,"Single",1981,"ForcedAir",,,9,9,7,,5124483
3410,5,5,"Single",1929,"Wall",,,9,9,7,,3640581
4480,5,5,"Single",1980,"ForcedAir",,,9,9,10,,5620006
6338,5,7,"Single",1985,"ForcedAir",,,9,9,7,,7557787
4012,4,5,"Single",2019,"ForcedAir","Central",,10,10,10,,2461410
,3,,"Single",1939,,,,10,10,10,,1272958
,,,"Multiple",1964,"ForcedAir","Central",,10,10,10,,1796187
,5,,"Single",1974,,"Central",,9,10,10,,1259099
2201,4,3,"Single",1975,"ForcedAir","Central",,10,10,10,,1328021
3653,6,4,"Single",1998,"ForcedAir","Central",,6,6,7,,1510100
4222,5,4,"Single",1995,"ForcedAir","Central",,10,10,10,,2076483
,6,,"Single",1962,,,,7,6,9,,1247140
2443,4,3,"Single",1960,"ForcedAir","Central",,10,10,10,,1553548
4466,5,4,"Single",1990,"ForcedAir","Central",,10,10,10,,1953929
7304,5,7,"Single",2019,"ForcedAir","Central",,10,10,10,,6190083
3742,5,5,"Single",2019,"ForcedAir","Central",,9,10,10,,2400708
,3,,"Single",1954,,,,9,10,10,,829323
3457,4,5,"Single",,"ForcedAir","Central",,10,10,10,,2498937
5132,6,7,"Single",2019,"ForcedAir","Central",,9,10,10,,3845350
3415,4,5,"Single",2018,"ForcedAir","Central",,9,10,10,,2350497
4110,4,5,"Single",1999,"ForcedAir","Central",,10,10,10,,3695498
3217,5,3,"Single",1978,"ForcedAir","Central",,9,10,10,,1725435
3052,5,3,"Single",1950,"ForcedAir","Central",,10,10,10,,1626176
2032,2,2,"Condo",2019,"ForcedAir","Central",,10,10,10,,1942280
733,2,1,"Single",1953,"Wall",,,7,6,9,,689170
2578,3,3,"Single",1963,"ForcedAir","Central",,9,10,10,,1703377
4956,5,6,"Single",2006,"ForcedAir","Central",,10,10,10,,4228109
3415,4,5,"Single",2019,"ForcedAir","Central",,9,10,10,,2369250
1772,3,2,"Single",1946,,,,10,10,10,,1300382
3070,5,5,"Single",1950,"ForcedAir","Central",,9,10,10,,1553839
3224,4,4,"Single",1971,"ForcedAir","Central",,10,10,10,,1768695
2716,4,3,"Single",1960,"ForcedAir","Central",,9,10,10,,2017159
1247,2,2,"Condo",2019,"ForcedAir","Central",,10,10,10,,1269263
,3,,"Single",1952,,,,10,10,10,,1225057
3186,4,4,"Single",1989,"ForcedAir","Central",,10,10,10,,2149073
3615,5,4,"Single",1980,"ForcedAir","Central",,10,10,10,,1893939
3742,5,5,"Single",2019,"ForcedAir","Central",,9,10,10,,2414109
,3,,"Single",1952,,,,10,10,10,,928059
4291,4,5,"Single",2000,"ForcedAir","Central",,10,10,10,,3630075
3709,4,4,"Single",1950,"ForcedAir","Central",,10,10,10,,2702298
3360,3,4,"Single",2007,,"Central","2 spaces",8,8,10,15386,2002216
706,1,1,"Condo",1973,,,,8,8,10,6294,500390
2609,4,3,"Single",1975,"ForcedAir","Central","2 spaces",8,8,10,26584,2389792
3773,4,4,"Single",2019,,,,,,,,718760
2540,4,3,"Single",1993,"ForcedAir","Central",,4,8,,,1114005
1757,3,4,"Condo",2017,"ForcedAir","Central",,6,6,8,,683066
2169,3,3,"Condo",2019,,,,6,4,8,,814655
2439,4,3,"Single",2019,"ForcedAir","Central",,6,6,8,,952735
3372,5,4,"Single",2019,,,,,,,,648000
794,2,1,"Single",1943,,,,4,8,,,565693
1392,4,2,"Single",1966,"ForcedAir","Central",,8,8,8,,813686
2141,4,3,"Single",1998,"ForcedAir","Central",,7,7,8,,966392
2619,3,3,"Single",1953,"ForcedAir","Central",,6,6,8,,1834293
2552,3,3,"Single",2019,,,,,,,,641452
1300,2,3,"Townhouse",2019,,,,6,4,8,,684631
2565,4,4,"Single",2019,,,,,,,,564190
3311,4,4,"Single",2019,,,,,,,,638202
1780,3,4,"Condo",2006,"ForcedAir","Central",,4,8,,,669906
1254,2,3,"Townhouse",2019,,,,6,4,8,,642432
1982,4,4,"Townhouse",2019,,,,6,6,8,,789871
2593,4,3,"Single",1980,"ForcedAir","Central",,4,8,,,1224921
3125,5,4,"Single",2005,"ForcedAir","Central",,6,8,8,,1334765
3532,4,3.5,"Single",2000,"ForcedAir","Central",,8,8,8,,1387399
3988,5,4,"Single",2004,"ForcedAir","Central",,6,6,8,,1259062
1817,2,2,"Condo",2019,,,,6,4,8,,794599
,3,,"Townhouse",1995,,,,4,8,,,629355
1626,2,2,"Condo",2019,,,,6,4,8,,778559
1079,2,3,"Townhouse",1988,"ForcedAir","Central",,6,6,8,,611442
1672,3,2,"Single",1956,"ForcedAir","Central",,4,8,,,760581
1300,2,2.5,"Townhouse",2019,,,,6,4,8,,677737
3919,5,4,"Single",,,,,,,,,734128
4500,5,5,"Single",1976,,"Central",,9,8,8,,1507380
1385,3,3,"Townhouse",1999,"ForcedAir","Central",,6,4,8,,636267
1186,3,2,"Single",1959,"ForcedAir",,,6,8,,,725000
1138,2,2,"Condo",2010,"ForcedAir","Central",,6,4,8,,586014
2708,4,3,"Single",1994,"ForcedAir","Central",,6,6,8,,1423554
1717,4,2,"Townhouse",2019,,,,6,6,8,,670967
1409,4,2,"Single",1985,"Gas","Central",,7,7,8,,757274
720,2,1,"Mobile",,,,,6,4,8,,111979
1402,3,2,"Condo",2014,"ForcedAir","Central",,4,8,,,638210
2654,4,3,"Single",2019,,,,,,,,575506
1640,3,3,"Single",2015,"ForcedAir","Central",,6,6,8,,768507
3522,6,3,"Single",2000,"ForcedAir","Central",,6,6,8,,1191361
1254,2,3,"Townhouse",2019,,,,6,4,8,,651963
1536,3,2,"Single",1996,"ForcedAir","Central",,6,6,8,,860625
3773,4,4,"Single",,,,,,,,,724408
1484,3,2,"Townhouse",2019,,,,6,6,8,,626867
,4,,"Single",2019,"ForcedAir","Central",,4,8,,,1366382
1369,3,3,"Townhouse",2019,"ForcedAir","Central",,4,8,,,776544
,4,,"Single",2000,,,,7,7,8,,689991
1254,2,2.5,"Townhouse",2019,,,,6,4,8,,652014
,,,"Single",1920,"ForcedAir","Central",,6,6,8,,1700002
1762,3,3,"Single",2016,"ForcedAir","Central",,6,6,8,,772969
2563,4,3,"Single",2019,,,,,,,,558415
2100,4,2,"Single",1982,"Wall","Central",,6,6,8,,497361
1673,3,3,"Condo",2016,"ForcedAir","Central",,6,4,8,,793002
1899,4,2,"Single",1992,"ForcedAir","Central",,6,6,8,,983076
6500,5,7,"Single",2012,"ForcedAir","Central",,10,9,10,,6232575
1242,3,2,"Townhouse",1981,"ForcedAir","Central",,6,6,8,,535000
2565,4,4,"Single",2019,,,,,,,,556047
,3,,"Single",1955,,,,4,8,,,596856
2012,4,4,"Townhouse",2019,,,,6,6,8,,794277
,4,,"Single",2019,"ForcedAir","Central",,4,8,,,1368888
1789,3,3.5,"Townhouse",2019,,,,6,4,8,,787247
1817,2,2,"Condo",2019,,,,6,4,8,,794853
,4,,"Single",1960,,,,6,8,,,770457
1046,2,1,"Single",1951,"ForcedAir","Central",,4,8,,,719161
1664,3,4,"Townhouse",2019,,,,6,4,8,,744925
758,1,1,"Condo",1974,"Baseboard","Wall",,6,8,,,329900
1929,4,4,"Townhouse",2019,,,,6,6,8,,784849
2025,4,4,"Townhouse",2019,,,,6,6,8,,793305
2441,4,3,"Single",2003,"ForcedAir","Central",,6,6,8,,1163001
1946,4,3,"Single",1969,"ForcedAir","Central",,6,4,8,,882369
3655,5,5,"Single",2004,"ForcedAir","Central",,8,8,8,,1457047
1190,2,1,"Single",1926,"ForcedAir","Central",,4,8,,,899518
2837,5,3,"Single",1997,"ForcedAir","Central",,8,8,8,,1210539
1242,3,2,"Condo",1981,,"Central",,6,6,8,,519893
1562,4,2,"Single",1972,,"Central",,6,4,8,,795004
1744,3,4,"Townhouse",2019,,,,6,6,8,,753739
1197,2,2,"Single",1982,,,,7,7,8,,670341
4100,5,4,"Single",,,,,,,,,749893
3266,5,4,"Single",2019,,,,,,,,632003
,4,,"Single",1955,"ForcedAir","Central",,6,6,8,,629105
2616,5,4,"Single",2018,"ForcedAir","Central",,6,6,8,,1079728
2025,4,4,"Townhouse",2019,,,,6,6,8,,822427
2914,4,4,"Single",,,,,,,,,654332
1250,3,2,"Townhouse",1989,"ForcedAir","Central",,6,6,8,,662499
979,2,1,"Single",1938,"ForcedAir",,,6,6,8,,1374511
1274,3,3,"Condo",1985,"ForcedAir","Central",,7,7,8,,500001
2616,5,4,"Single",2019,"ForcedAir","Central",,7,7,8,,1072774
1752,3,3,"Townhouse",1996,"ForcedAir","Central",,4,8,,,710857
1710,4,4,"Townhouse",2017,"ForcedAir","Central",,6,6,8,,658338
3527,5,4,"Single",,"ForcedAir","Central",,10,9,10,,1617437
560,1,1,"Mobile",1992,,,,4,8,,,88257
2731,4,3,"Single",2000,,"Central",,8,8,8,,1236054
1649,5,2.5,"Single",1965,,,,7,7,8,,623328
,3,,"Single",1952,,,,4,8,,,512428
1155,2,2,"Condo",2013,"ForcedAir","Central",,6,4,8,,580351
2169,3,3,"Condo",2019,,,,6,4,8,,818621
1478,3,3,"Single",2001,"ForcedAir","Central",,7,7,8,,730888
2064,3,3,"Single",1959,"ForcedAir","Central",,,,,,851399
1276,2,2.5,"Townhouse",2019,,,,6,4,8,,651753
,1,,"Condo",1974,,,,6,8,,,327554
,1,,"Condo",1974,,,,6,8,,,285654
,4,,"Single",1969,,,,6,4,8,,682970
,3,,"Single",1967,,,,8,8,8,,673266
1268,4,2,"Single",1972,"ForcedAir","Central",,6,4,8,,749587
1172,2,2,"Single",1926,"ForcedAir","Central",,6,6,8,,757388
1767,3,3,"Condo",2017,,"Central",,6,4,8,,788000
3372,5,4,"Single",2019,,,,,,,,663050
,3,,"Townhouse",1996,,,,4,8,,,633571
1817,2,2,"Condo",2019,,,,6,4,8,,802424
990,2,1,"Single",1952,"ForcedAir","Central",,4,8,,,578626
2044,4,2,"Single",1990,"ForcedAir","Central",,6,6,8,,1001249
1240,3,2,"Condo",1982,,"Central",,7,7,8,,682775
2518,5,4,"Single",1966,"Gas","Central",,8,8,8,,1084999
1339,3,3,"Townhouse",2019,"ForcedAir","Central",,4,8,,,771085
2056,4,4,"Townhouse",2015,"ForcedAir","Central",,4,8,,,728844
1508,3,3.5,"Townhouse",2019,,,,6,4,8,,748967
2256,3,3,"Condo",2019,,,,6,4,8,,832779
,3,,"Single",1953,,,,6,6,8,,549230
2343,3,3,"Single",1955,"ForcedAir","Central",,4,8,,,917137
1626,3,2,"Condo",2019,,,,6,4,8,,775266
,4,,"Single",2007,,,,9,8,8,,1533585
1383,3,2,"Single",1954,"Wall","Wall",,6,6,8,,737834
2340,4,3,"Single",2019,,,,,,,,549160
1664,3,3.5,"Townhouse",2019,,,,6,4,8,,738894
3919,4,4,"Single",,,,,,,,,710979
2763,4,3,"Single",1962,"ForcedAir","Central",,4,8,,,1475399
1646,3,3,"Townhouse",2019,,,,6,4,8,,788346
1550,4,3,"Townhouse",1986,"ForcedAir","Central",,6,4,8,,611392
1780,3,4,"Townhouse",2006,"ForcedAir","Central",,4,8,,,674956
1764,4,2,"Single",1965,"ForcedAir","Central",,6,6,8,,797122
1440,3,2,"Single",1964,"ForcedAir","Central",,6,8,,,819004
1798,4,2,"Single",1964,"ForcedAir","Central",,6,8,,,860593
1248,3,2,"Single",1926,"ForcedAir","Central",,4,8,,,869908
1462,2,2,"Single",1951,"ForcedAir","Central",,4,8,,,827735
2439,4,3,"Single",2019,"ForcedAir","Central",,7,7,8,,953341
1630,3,2,"Single",2001,"ForcedAir","Central",,7,7,8,,769061
2270,4,3,"Single",1975,"ForcedAir","Central",,7,7,8,,1795384
,4,,"Single",2004,,,,6,6,8,,956675
1907,4,3,"Single",1972,"ForcedAir","Central",,6,6,8,,981451
1530,4,2,"Single",1952,"ForcedAir","Central",,6,6,8,,720302
1734,3,3,"Condo",2010,"ForcedAir","Central",,4,8,,,699002
1420,2,3,"Condo",2004,"ForcedAir","Central",,6,6,8,,625695
1318,3,2,"Single",1972,"ForcedAir","Central",,6,6,8,,738360
1800,4,4,"Condo",2018,"ForcedAir","Central",,6,6,8,,726422
2563,4,3,"Single",2019,,,,,,,,587478
955,2,2,"Condo",1974,"Wall","Wall",,6,8,,,391322
2089,4,3,"Single",2015,"ForcedAir","Central",,6,6,8,,850214
2173,4,2,"Single",2019,,,,,,,,516166
2123,5,3,"Single",1971,"ForcedAir","Central",,6,6,8,,730052
1806,3,2,"Condo",2007,,,,6,4,8,,648958
3716,5,5,"Single",2007,"ForcedAir","Central",,6,8,8,,2905003
1080,3,2,"Single",1957,"ForcedAir",,,6,8,8,,735863
3752,4,4,"Single",1990,"ForcedAir","Central",,4,8,,,2259237
1337,2,2.5,"Townhouse",2019,,,,6,4,8,,707338
997,3,1,"Single",1943,"ForcedAir","Central",,4,8,,,674909
1723,3,3,"Single",1992,,"Central",,6,6,8,,899907
1817,3,2,"Townhouse",2017,"ForcedAir","Central",,6,4,8,,780537
1588,3,2,"Single",1971,"ForcedAir","Central",,6,6,8,,745303
2834,4,4,"Single",2001,"ForcedAir","Central",,8,8,8,,1255506
1964,4,3,"Condo",1996,,,,4,8,,,732059
,2,,"Condo",1963,,,,7,7,8,,508171
2424,3,3,"Single",1973,,,"2 spaces",9,9,9,16594,2826572
3224,4,3,"Single",1968,"ForcedAir",,"2 spaces",9,8,10,3059,3368050
3480,2,3,"Single",1973,"ForcedAir","Central","3 spaces",9,8,10,4980,4500040
3435,4,4,"Single",1959,"ForcedAir","Central","2 spaces",9,8,10,28949,4318672
3113,5,4,"Single",1963,"ForcedAir","Central","2 spaces",9,9,9,24074,3285305
5326,5,8,"Single",1996,"ForcedAir","Central","2 spaces",9,9,9,59234,6251572
4357,3,4,"Single",1973,"ForcedAir","Central","3 spaces",9,8,10,21758,4695277
3348,4,4,"Single",1960,"ForcedAir",,"2 spaces",9,9,9,46271,3686993
,,,,,,,,9,10,9,38222,2453890
2550,3,3,"Single",1981,"ForcedAir",,"3 spaces",9,10,9,17795,3497496
5036,5,6,"Single",1930,"ForcedAir","Central","5+ spaces",9,8,10,88792,6294740
3280,5,3,"Single",1977,"ForcedAir","Central","2 spaces",9,8,10,39513,3882249
5464,5,6,"Single",1985,"Baseboard","Central","3 spaces",9,10,9,53227,5701979
3185,4,4,"Single",1976,"ForcedAir","Central","2 spaces",9,10,9,19591,4036420
7538,6,9,"Single",2015,"ForcedAir","Central","2 spaces",9,9,9,88022,7361080
4922,6,3,"Single",1974,"ForcedAir","Central","2 spaces",9,8,10,5520,4154150
4688,4,4,"Single",1975,"ForcedAir","Central","2 spaces",9,9,9,18531,5434127
6582,5,4,"Single",1980,"ForcedAir","Central","4 spaces",9,9,9,24920,4515531
12000,6,9,"Single",1955,"Wall","Central","3 spaces",9,10,9,53730,20939957
3148,4,3,"Single",1968,"ForcedAir","Central","3 spaces",9,8,10,3959,3286382
4873,5,5,"Single",2009,"ForcedAir","Central","5+ spaces",9,8,10,61427,5838137
4329,5,6,"Single",1999,"ForcedAir","Central",,9,10,9,,5946455
960,2,2,"Condo",1972,"Baseboard","Wall",,8,9,9,,1233749
1775,3,3,"Townhouse",1997,"ForcedAir","Central",,9,9,9,,2054761
850,2,1,"Condo",1963,"Electric",,,9,9,9,,1000858
,4,,"Single",1960,,,,9,10,9,,2128078
3321,4,4,"Single",1997,"ForcedAir","Central",,9,8,9,,3754120
1899,3,2,"Single",1951,"ForcedAir",,,9,9,9,,2564359
,4,,"Single",1981,"ForcedAir","Central",,9,9,9,,3503609
1686,3,7,"Single",1921,"ForcedAir","Wall",,9,10,9,,3833172
3684,5,6,"Single",2019,"ForcedAir","Central",,9,10,9,,4769343
3390,4,3,"Single",1958,"ForcedAir","Central",,8,9,9,,3765539
1055,2,2,"Condo",1972,"Baseboard","Wall",,8,9,9,,1024945
1625,3,2,"Single",1954,"ForcedAir",,,9,10,9,,2291022
2924,3,2,"Single",1984,"ForcedAir","Central",,9,10,9,,3546157
3644,5,4,"Single",1969,"ForcedAir","Central",,8,9,9,,4124350
2195,4,4,"Single",1957,"ForcedAir",,,9,10,9,,2850950
4450,5,6,"Single",2009,"ForcedAir","Central",,9,10,9,,5223292
4936,6,8,"Single",2019,"ForcedAir",,,9,10,9,,5748083
,2,,"Condo",1964,,,,9,9,9,,1170952
3377,4,3,"Single",1951,"ForcedAir","Central",,9,9,9,,4407960
3681,4,4,"Single",1969,"ForcedAir","Central",,8,9,9,,4112046
1467,3,2,"Condo",2007,"ForcedAir","Central",,9,9,9,,1623934
4128,5,4,"Single",1940,,,,9,9,9,,5582034
2563,4,2,"Single",1960,"ForcedAir",,,9,8,9,,3282754
2166,4,2,"Single",1941,"ForcedAir",,,9,10,9,,3840247
2932,4,3,"Single",2018,"ForcedAir","Central",,9,10,9,,4008041
2408,3,3,"Single",1955,"ForcedAir","Central",,9,9,10,,2600019
3888,5,4,"Single",1988,"ForcedAir","Central",,9,10,9,,4242002
1885,3,2,"Single",1961,"ForcedAir",,,9,8,9,,2330569
3162,5,5,"Single",1963,,,,9,10,9,,3067470
4473,5,4,"Single",1933,,"Central",,9,8,9,,5222407
2709,4,3,"Single",1959,"ForcedAir","Central",,9,10,9,,3297302
3958,4,4,"Single",1895,"ForcedAir","Central",,9,9,9,,4995010
1444,2,2,"Townhouse",1964,"Wall",,,9,9,9,,1828923
1726,3,2,"Single",1916,"ForcedAir",,,9,10,9,,3208261
1551,2,2,"Single",1950,,,,9,8,9,,2164117
3621,6,6,"Single",2019,"ForcedAir","Central",,9,10,9,,5286019
2714,5,3,"Single",1963,"ForcedAir","Central",,9,8,9,,2923949
,,,"Multiple",1990,"ForcedAir","Central",,10,9,10,,3100004
,3,,"Single",1963,,,,8,9,9,,1450421
1735,4,2,"Single",1965,"ForcedAir","Wall",,8,9,9,,1522800
4800,4,6,"Single",2008,"ForcedAir","Central",,10,9,10,,4087329
1225,2,2,"Single",1890,"Gas",,,10,9,10,,1783522
6946,6,6,"Single",1955,"ForcedAir","Central",,10,9,10,,4299879
1520,3,3,"Townhouse",1972,"ForcedAir","Central",,9,7,8,,1188005
5096,4,4,"Single",2018,"ForcedAir","Central",,8,9,9,,7345871
5007,5,5,"Single",1919,"ForcedAir","Central",,9,9,10,,4193899
1512,3,3,"Single",2005,"ForcedAir","Central",,10,9,10,,1564244
2275,3,3,"Single",1953,"ForcedAir",,,8,9,9,,4002515
1943,3,3,"Single",1920,,"Central",,8,9,10,,2123924
3104,4,4,"Single",2017,,"Central",,10,9,10,,4015887
5036,5,5,"Single",1885,"ForcedAir","Central",,10,9,10,,4449399
1528,2,3,"Condo",1979,"ForcedAir","Central",,9,9,9,,1058005
4932,4,4,"Single",2018,"ForcedAir","Central",,10,9,10,,8828274
2432,4,3,"Single",1965,"ForcedAir","Central",,8,9,9,,1800458
2964,6,7,"Single",1955,"ForcedAir","Central",,8,9,9,,2603338
5579,4,5,"Single",1985,"ForcedAir","Central",,8,9,9,,4328769
2474,4,3,"Single",1999,"ForcedAir","Central",,10,9,10,,3300012
,3,,"Condo",1971,,,,9,7,8,,1010366
996,2,1,"Condo",1963,"ForcedAir",,,9,7,8,,605003
2713,3,4,"Single",2010,,,,10,9,10,,2896826
1015,2,2,"Townhouse",1972,"ForcedAir",,,8,9,9,,996661
3200,5,5,"Single",1934,"ForcedAir","Central",,10,9,10,,2867699
1136,2,2,"Condo",1978,"Wall",,,10,9,10,,654738
5500,7,8,"Single",2019,"ForcedAir","Central",,9,9,10,,4637098
6100,4,6,"Single",1997,"ForcedAir","Central",,9,9,10,,4297543
1413,3,2,"Condo",1978,,,,10,9,10,,703451
3481,4,3,"Single",1978,"ForcedAir","Wall",,10,10,10,,2755045
,,,"Single",1910,,,,10,9,10,,3926087
3401,5,6,"Single",1934,"ForcedAir","Central",,10,9,10,,4453454
2207,4,3,"Single",2012,"ForcedAir","Central",,10,9,10,,2385021
1003,3,2,"Single",1905,"Gas",,,10,9,10,,1466657
2288,5,3,"Single",1930,"ForcedAir",,,10,9,10,,1881891
1528,2,3,"Condo",1979,"ForcedAir","Central",,9,9,9,,1224894
1720,3,3,"Single",1916,"ForcedAir","Central",,10,9,10,,1771041
1050,2,2,"Condo",1963,"ForcedAir",,,9,7,8,,698003
,4,,"Single",1940,,,,10,9,10,,2326066
1440,2,2,"Condo",1962,"ForcedAir","Central",,10,9,10,,1249960
1260,3,3,"Townhouse",1973,"Electric",,,10,9,10,,1076005
2437,3,3,"Townhouse",1980,"ForcedAir","Central",,10,9,10,,2099017
1142,2,1,"Single",1939,"ForcedAir",,,9,7,8,,1579109
,3,,"Condo",1979,,"Central",,9,7,8,,963883
,4,,"Single",1998,,,,9,9,10,,1972413
2550,4,3,"Single",1960,"ForcedAir","Central",,9,7,8,,2022976
4000,5,6,"Single",2003,"ForcedAir","Central",,9,7,8,,3155102
5810,5,4,"Single",1985,"ForcedAir","Central",,8,9,9,,3508223
4000,4,4,"Single",1957,,,,10,9,10,,2519386
,3,,"Condo",1973,,,,9,9,10,,920528
2769,4,3,"Single",1961,"ForcedAir","Central",,8,9,9,,2269783
3201,3,5,"Single",1946,"ForcedAir","Central",,10,9,10,,2871988
,6,,"Single",1968,,,,9,9,10,,2024154
2591,5,3,"Single",1992,"ForcedAir","Central",,,,,,850005
1088,2,2,"Condo",1984,"ForcedAir","Central",,6,6,9,,409951
1268,3,2,"Single",1966,"ForcedAir","Central",,6,6,9,,676586
888,2,2,"Condo",1985,"ForcedAir","Central",,6,6,9,,359001
1740,4,3,"Townhouse",1976,,,,6,6,9,,592020
1551,3,2,"Single",1926,"ForcedAir","Central",,6,6,7,,586550
888,1,1,"Single",1918,"Wall",,,3,6,7,,419184
,4,,"Single",1992,,,,6,6,7,,902034
